protein_id	Entry Name (UniProt)
CHEMBL4147	KCC2A_HUMAN
CHEMBL3234	HCK_HUMAN
CHEMBL2656	KCRM_HUMAN
CHEMBL1163104	OXSR1_HUMAN
CHEMBL2116	AAPK2_HUMAN
CHEMBL5651	STK35_HUMAN
CHEMBL5198	MK15_HUMAN
CHEMBL1841	FYN_HUMAN
CHEMBL5554	P3C2B_HUMAN
CHEMBL4442	CDK3_HUMAN
CHEMBL5681	KCY_HUMAN
CHEMBL3055	CDK7_HUMAN
CHEMBL5388	TLK1_HUMAN
CHEMBL1795186	BRD3_HUMAN
CHEMBL4524042	TRIB1_HUMAN
CHEMBL5483	INSRR_HUMAN
CHEMBL5667	PI42B_HUMAN
CHEMBL2835	JAK1_HUMAN
CHEMBL331	CDK4_HUMAN
CHEMBL4852	M4K5_HUMAN
CHEMBL5405	ST32C_HUMAN
CHEMBL1075115	DYRK4_HUMAN
CHEMBL3407327	PANK2_HUMAN
CHEMBL3587	MP2K1_HUMAN
CHEMBL2469	UCK2_HUMAN
CHEMBL3399913	CERT_HUMAN
CHEMBL5789	CDKL1_HUMAN
CHEMBL4925	KAD1_HUMAN
CHEMBL3268	PI4KB_HUMAN
CHEMBL5785	E2AK2_HUMAN
CHEMBL1908382	PRP4B_HUMAN
CHEMBL5464	RIPK1_HUMAN
CHEMBL5604	TESK1_HUMAN
CHEMBL3627584	M3K21_HUMAN
CHEMBL5258	KCC1G_HUMAN
CHEMBL4394	SPHK1_HUMAN
CHEMBL3721311	F264_HUMAN
CHEMBL5970	M3K3_HUMAN
CHEMBL5888	M3K14_HUMAN
CHEMBL4526	EPHA6_HUMAN
CHEMBL5914	M3K2_HUMAN
CHEMBL2148	JAK3_HUMAN
CHEMBL4523401	IPMK_HUMAN
CHEMBL3094	MAPK5_HUMAN
CHEMBL1075189	KPYM_HUMAN
CHEMBL4101	KAPCA_HUMAN
CHEMBL1764936	CERK1_HUMAN
CHEMBL1163101	ERN1_HUMAN
CHEMBL2637	MK10_HUMAN
CHEMBL5608	NTRK3_HUMAN
CHEMBL5073	KCC1D_HUMAN
CHEMBL4105737	BAZ1A_HUMAN
CHEMBL3116	CDK9_HUMAN
CHEMBL5659	RIOK3_HUMAN
CHEMBL4439	TGFR1_HUMAN
CHEMBL3836	LIMK1_HUMAN
CHEMBL4014	ABL2_HUMAN
CHEMBL2972	PFKAP_HUMAN
CHEMBL5650	BRSK1_HUMAN
CHEMBL4105755	DGKB_HUMAN
CHEMBL1075133	GRK7_HUMAN
CHEMBL6000	RIOK2_HUMAN
CHEMBL1926492	TTBK1_HUMAN
CHEMBL262	GSK3B_HUMAN
CHEMBL3438	KPCZ_HUMAN
CHEMBL3145	PK3CB_HUMAN
CHEMBL4312	STK36_HUMAN
CHEMBL4105985	PAN3_HUMAN
CHEMBL4524	PAK5_HUMAN
CHEMBL2815	NTRK1_HUMAN
CHEMBL3863	KPCD1_HUMAN
CHEMBL6186	SGK3_HUMAN
CHEMBL3108641	TAF1L_HUMAN
CHEMBL3935	AURKC_HUMAN
CHEMBL5116	SBK3_HUMAN
CHEMBL5938	PLK2_HUMAN
CHEMBL2842	MTOR_HUMAN
CHEMBL3384	PKN1_HUMAN
CHEMBL1908384	SNRK_HUMAN
CHEMBL3627581	PKN3_HUMAN
CHEMBL4005	PK3CA_HUMAN
CHEMBL267	SRC_HUMAN
CHEMBL3982	FER_HUMAN
CHEMBL2695	FAK1_HUMAN
CHEMBL2250	BLK_HUMAN
CHEMBL5518	MINK1_HUMAN
CHEMBL2971	JAK2_HUMAN
CHEMBL3650	FGFR1_HUMAN
CHEMBL1275212	KHK_HUMAN
CHEMBL1163106	MAK_HUMAN
CHEMBL1974	FLT3_HUMAN
CHEMBL2176772	TRI33_HUMAN
CHEMBL5285	M3K5_HUMAN
CHEMBL1844	CSF1R_HUMAN
CHEMBL5703	SRMS_HUMAN
CHEMBL5251	BTK_HUMAN
CHEMBL5903	ACVR1_HUMAN
CHEMBL1991	IKKB_HUMAN
CHEMBL4954	EPHA3_HUMAN
CHEMBL3024	PLK1_HUMAN
CHEMBL6006	ULK1_HUMAN
CHEMBL3886	M3K20_HUMAN
CHEMBL4501	KS6B1_HUMAN
CHEMBL1163128	MAST1_HUMAN
CHEMBL6162	CDK14_HUMAN
CHEMBL2883	KITH_HUMAN
CHEMBL6002	CDK19_HUMAN
CHEMBL5794	SGK2_HUMAN
CHEMBL2543	KC1G2_HUMAN
CHEMBL6177	NADK_HUMAN
CHEMBL4895	UFO_HUMAN
CHEMBL2417355	MAST2_HUMAN
CHEMBL3906	KS6A2_HUMAN
CHEMBL4525	ST17A_HUMAN
CHEMBL5600	MARK3_HUMAN
CHEMBL5682	UCK1_HUMAN
CHEMBL1075126	KPYR_HUMAN
CHEMBL5334	TNK1_HUMAN
CHEMBL1955	VGFR3_HUMAN
CHEMBL1795191	CDK10_HUMAN
CHEMBL4924	KS6A6_HUMAN
CHEMBL5257	NEK9_HUMAN
CHEMBL2447	DCK_HUMAN
CHEMBL2872	M3K9_HUMAN
CHEMBL4879437	STK19_HUMAN
CHEMBL4105867	COASY_HUMAN
CHEMBL3788	PLK4_HUMAN
